"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Mypop",1256.81428171453,-0.0512613619810681,0.071689769188528,-0.715044316104049,0.474581660113898,0.675171413344061,FALSE
"Mypopos",10.9100033344199,0.227116524431753,0.269760772043975,0.84191827711232,0.399833699031306,0.614853933603787,FALSE
"Myrf",2186.30884785307,-0.0843737782556813,0.0627493415276394,-1.34461615375704,0.178749224000399,0.376198823966102,FALSE
"Myrfl",9.40393546370043,-0.593755325065364,0.359151606077603,-1.65321639947524,0.0982868300373291,0.257411412922889,FALSE
"Myrip",1092.71262553905,0.0395675482930839,0.0508099735766376,0.778735856522409,0.436135329508443,0.645612896052338,FALSE
"Mysm1",2377.24483119264,0.098880725373451,0.0636793761672427,1.55279042171767,0.120473211729788,0.292942568791893,FALSE
"Myt1",3363.33503130806,0.125242392400992,0.0715043520712778,1.75153523908792,0.079853756754668,0.224577568766285,FALSE
"Myt1l",4807.88344868049,-0.0386501023381375,0.0617810550553974,-0.625597965322557,0.531578673689119,0.719284080981774,FALSE
"Myzap",68.1977303769968,0.0739258736472818,0.165300851760339,0.447220161662947,0.654716105546045,0.806676378416209,FALSE
"Mzf1",97.3173054351298,0.167558857260934,0.116165622766157,1.44241345478114,0.149185770415749,0.335926516970379,FALSE
"Mzt1",3288.18119782465,0.02698133885918,0.0432408447338695,0.623978070392463,0.532641987040603,0.720413890731539,FALSE
"Mzt2",418.59416476525,0.0301967412771003,0.058694018023953,0.514477323136694,0.606918310938105,0.774741122263607,FALSE
"n-Tr2",7.74803255278821,0.217272036938974,0.310368038134681,0.700046429538246,0.483898309305456,0.682476158184495,FALSE
"n-Tr22",11.2955076587378,0.729498360088953,0.269457273118868,2.7072876959129,0.00678354431467206,0.0475872197747057,FALSE
"n-Tw1",8.77540518278411,-0.901052859968084,0.347272985886637,-2.59465290013149,0.00946864875813696,0.0580759106632456,FALSE
"n-Ty6",7.29630876290214,0.891249455212521,0.364546187197217,2.44481902846061,0.0144924842012243,0.0763335353169663,FALSE
"N28178",4270.5028055808,0.356799766695169,0.0995715384018617,3.58335094969767,0.000339214361095681,0.00686039300805688,FALSE
"N4bp1",2480.23108180254,-0.0355771165152663,0.0488834147329465,-0.727795239134307,0.466738939318398,0.669396781672648,FALSE
"N4bp2",827.211427749664,-0.0048035189331816,0.0730944023915678,-0.0657166455435134,0.947603419833235,0.976136585297992,FALSE
"N4bp2l1",1375.34284675349,0.106934133411104,0.0503422114283449,2.12414453749831,0.03365805928504,0.13166915938537,FALSE
"N4bp2l2",2483.44086584806,-0.187600915056971,0.0815995779437433,-2.29904271301878,0.0215025139931484,0.098011699949506,FALSE
"N4bp3",482.165901513247,-0.0273052651502002,0.0591396315894183,-0.461708407988898,0.64429044072984,0.79903158038626,FALSE
"N6amt1",581.830963490608,0.0376374840921601,0.0968683674612088,0.388542566356681,0.697614560019657,0.833544380557476,FALSE
"N6amt2",610.272937679985,-0.265437422740738,0.108357891445903,-2.44963628581917,0.0143000581557373,0.0756779706145111,FALSE
"Naa10",833.839929768657,0.00835039027277108,0.0520048271532761,0.160569522674493,0.872432460755982,0.937508315287849,FALSE
"Naa15",3228.37207243549,0.0145806292748687,0.0443922533400581,0.328449857302278,0.742571551205326,0.862279442051087,FALSE
"Naa16",785.189640405663,0.0231098443889223,0.0633379618631752,0.364865614697942,0.715211722900974,0.844970224958836,FALSE
"Naa20",1926.13929472427,0.0597136590233648,0.0494073687115507,1.20859824314839,0.226817231700685,0.435594014009736,FALSE
"Naa25",2176.56731903502,-0.107455273670862,0.0513351157447914,-2.09321187089687,0.0363302455264873,0.138015562475698,FALSE
"Naa30",2229.01064760876,-0.0197649826443379,0.0407179126594657,-0.485412472138183,0.627383786981877,0.787923776790747,FALSE
"Naa35",1987.35843970013,-0.0545636752413784,0.0327588514454039,-1.66561624824712,0.0957898727867249,0.253148442252227,FALSE
"Naa38",573.396560857573,-0.0601278722316823,0.0747013869189627,-0.804909717364552,0.420871780447743,0.633466073298543,FALSE
"Naa40",1148.11377214115,-0.0164438294519753,0.0592274748218974,-0.277638536868631,0.781289846538913,0.88490398657928,FALSE
"Naa50",4889.63254844025,-0.120325788439431,0.040957130852784,-2.93784710828328,0.00330499968465523,0.0295111528445866,FALSE
